"","대여소ID","총대여건수","구분","대여소명.x","대여일자","대여건수","대여소주소","위도","경도","기준시작일자","거치대수","temp","freqByBike","freqByBike_total"
"129",122,4598,"마포구","122. 신성기사식당 앞",201903,782,"서울특별시 마포구 독막로 223-1",37.547459,126.938377,"42254.438715277778",10,1,78.2,459.8
"130",123,5292,"서대문구","123. 문화촌 공원",201905,2079,"서울특별시 서대문구 홍제동 277-23",37.59433,126.947388,"42254.439166666663",20,1,104,264.6
"131",123,5292,"서대문구","123. 문화촌 공원",201902,351,"서울특별시 서대문구 홍제동 277-23",37.59433,126.947388,"42254.439166666663",20,1,17.6,264.6
"132",123,5292,"서대문구","123. 문화촌 공원",201904,1454,"서울특별시 서대문구 홍제동 277-23",37.59433,126.947388,"42254.439166666663",20,1,72.7,264.6
"133",123,5292,"서대문구","123. 문화촌 공원",201903,736,"서울특별시 서대문구 홍제동 277-23",37.59433,126.947388,"42254.439166666663",20,1,36.8,264.6
"134",123,5292,"서대문구","123. 문화촌 공원",201901,311,"서울특별시 서대문구 홍제동 277-23",37.59433,126.947388,"42254.439166666663",20,1,15.6,264.6
"135",123,5292,"서대문구","123. 문화촌 공원",201812,361,"서울특별시 서대문구 홍제동 277-23",37.59433,126.947388,"42254.439166666663",20,1,18.1,264.6
"136",124,6424,"마포구","124. 서강대 정문 건너편",201901,546,"서울특별시 마포구 서강로16길 72",37.55114,126.936989,"42254.439675925925",20,1,27.3,321.2
"137",124,6424,"마포구","124. 서강대 정문 건너편",201905,2123,"서울특별시 마포구 서강로16길 72",37.55114,126.936989,"42254.439675925925",20,1,106.2,321.2
"138",124,6424,"마포구","124. 서강대 정문 건너편",201902,489,"서울특별시 마포구 서강로16길 72",37.55114,126.936989,"42254.439675925925",20,1,24.4,321.2
"139",124,6424,"마포구","124. 서강대 정문 건너편",201812,564,"서울특별시 마포구 서강로16길 72",37.55114,126.936989,"42254.439675925925",20,1,28.2,321.2
"140",124,6424,"마포구","124. 서강대 정문 건너편",201903,1121,"서울특별시 마포구 서강로16길 72",37.55114,126.936989,"42254.439675925925",20,1,56,321.2
"141",124,6424,"마포구","124. 서강대 정문 건너편",201904,1581,"서울특별시 마포구 서강로16길 72",37.55114,126.936989,"42254.439675925925",20,1,79,321.2
"142",125,5747,"마포구","125. 서강대 남문 옆",201901,385,"서울특별시 마포구 백범로 35",37.549484,126.93895,"42254.440358796295",15,1,25.7,383.1
"143",125,5747,"마포구","125. 서강대 남문 옆",201905,1825,"서울특별시 마포구 백범로 35",37.549484,126.93895,"42254.440358796295",15,1,121.7,383.1
"144",125,5747,"마포구","125. 서강대 남문 옆",201812,655,"서울특별시 마포구 백범로 35",37.549484,126.93895,"42254.440358796295",15,1,43.7,383.1
"145",125,5747,"마포구","125. 서강대 남문 옆",201902,382,"서울특별시 마포구 백범로 35",37.549484,126.93895,"42254.440358796295",15,1,25.5,383.1
"146",125,5747,"마포구","125. 서강대 남문 옆",201904,1337,"서울특별시 마포구 백범로 35",37.549484,126.93895,"42254.440358796295",15,1,89.1,383.1
"147",125,5747,"마포구","125. 서강대 남문 옆",201903,1163,"서울특별시 마포구 백범로 35",37.549484,126.93895,"42254.440358796295",15,1,77.5,383.1
"148",126,8704,"마포구","126. 서강대 후문 옆",201812,906,"서울특별시 마포구 대흥로 122",37.550411,126.943848,"42254.440868055557",20,1,45.3,435.2
"149",126,8704,"마포구","126. 서강대 후문 옆",201903,1618,"서울특별시 마포구 대흥로 122",37.550411,126.943848,"42254.440868055557",20,1,80.9,435.2
